number,semester,year,level,preprocessed_title,preprocessed_description,instructors,preprocessed_department_name,preprocessed_topics
14.44,Spring,2007.0,Undergraduate,energy economics,course explores theoretical empirical perspective individual industrial demand energy energy supply energy market public policy affecting energy market discus aspect oil natural gas electricity nuclear power sector examines energy tax price regulation deregulation energy efficiency policy controlling emission,Prof. Paul Joskow,economics,"science, economics, social science, public administration, earth science, energy, microeconomics, political economy, fossil fuel, nuclear, electricity, environmental policy, sustainability"
21A.101J,Spring,2010.0,Undergraduate,identity difference,course explores identity whether individual group produced maintained transformed student introduced various theoretical perspective deal identity formation including construction normal explore utility perspective understanding identity component gender sexual orientation race ethnicity religion language social class bodily difference semester end student understand better individual cause consequence society unique agent social action well social product,Prof. Jean Jackson,"anthropology, woman gender study","social science, society, anthropology, gender study, social anthropology, ethnography, cultural anthropology"
8.06,Spring,2018.0,Undergraduate,quantum physic iii,course continuation 805 quantum physic iicourses805quantumphysicsiifall2013 introduces important model system studied contemporary physic including twodimensional electron system fine structure hydrogen laser particle scattering lecture lecture note course form basis zwiebachs textbook mastering quantum mechanic published mit presshttpsmitpressmitedubooksmasteringquantummechanics april 2022,Prof. Barton Zwiebach,physic,"science, physic, theoretical physic, quantum mechanic"
11.522,Fall,2005.0,Graduate,research seminar urban information system,seminar participant invited guest lead critical discussion current literature ongoing research student responsible identifying reviewing presenting one structured discussion article current literature relevant research topic remaining time spent working individual project thesis proposal fall seminar focus following core issue underlie implementation urban information system decision support tool sustainable acquisition representation urban knowledge emergent technological infrastructure supporting metropolitan decisionmaking innovative organizational institutional arrangement take advantage modern urban information system arcgisarcmaparcinfo graphical user interface intellectual property esri used herein permission copyright esri right reserved,Prof. Joseph Ferreira,urban study planning,"engineering, computer science, social science, public administration, business, urban study, information technology, data mining, urban planning, graphic visualization"
7.016,Fall,2018.0,Undergraduate,introductory biology,_7016 introductory biology_ provides introduction fundamental principle biochemistry molecular biology genetics understanding function living system taught first time fall 2013 course cover example use chemical biology twentyfirstcentury molecular genetics understanding human health therapeutic intervention mit biology department introductory biology course 7012courses7012introductiontobiologyfall2004 7013courses7013introductorybiologyspring2013 7014courses7014introductorybiologyspring2005 7015 7016courses7016introductorybiologyfall2018 cover core material includes fundamental principle biochemistry genetics molecular biology cell biology biological function molecular level particularly emphasized cover structure regulation gene well structure synthesis protein molecule integrated cell cell integrated multicellular system organism addition version subject distinctive material,"Prof. Barbara Imperiali, Prof. Adam Martin, Dr. Diviya Ray",biology,"science, health medicine, biology, genetics, molecular biology, biochemistry, microbiology, virology, cancer, functional genomics, cell biology"
4.175,Fall,2005.0,Graduate,case study city form,course serf introduction urban form design focusing physical historical social form city selected city analyzed drawn compared develop working understanding urban architectural form development map making urban representation discussed use computer required special focus placed historical development selected city especially midnineteenth midtwentieth century period expansion reading focus urban design theory twentieth century discussed weekly seminar method class smarchs student architecture urbanism,"Prof. Michael Dennis, Mr. Anubhav Gupta",architecture,"architecture, social science, fine art, urban study, architectural design"
16.852J,Fall,2005.0,Graduate,integrating lean enterprise,class address important issue involved planning development implementation lean enterprise people technology process management dimension effective lean manufacturing company considered unified framework particular emphasis placed integration dimension across entire enterprise including product development production extended supply chain analysis tool well future trend direction explored team project key component subject,Prof. Deborah Nightingale,"aeronautics astronautics, engineering system division","engineering, system engineering, business, supply chain management, operation management, system optimization, project management"
10.490,Fall,2006.0,Undergraduate,integrated chemical engineering,course us reaction kinetics batch reactor analysis batch distillation batch operation scheduling safety analysis abacus process simulator introduce process design analysis technique acknowledgement material fall 2006 offering course drawn extensively material professor paul barton used teaching course past year indebted long service 10490,Dr. Barry S. Johnston,chemical engineering,"engineering, science, chemistry, chemical engineering, analytical chemistry"
15.965,Spring,2009.0,Graduate,technology strategy system design management,course provides framework understand structure dynamic hightech business together approach effective strategic management focused domain system important either product part larger complex system comprised system domain covered include computing communication particular mobile ip domain consumer electronics industrial networking automotive aerospace medical device course particular interest interested managing business technology likely play major role also interested investing providing counsel business emphasis throughout development application way thinking mental model bring clarity complex coevolution technological innovation demand opportunity system architecture business ecosystem decisionmaking execution within business,Michael A. M. Davies,sloan school management,"management, leadership, business, operation management, marketing"
14.126,Spring,2016.0,Graduate,game theory,course provides rigorous treatment noncooperative solution concept game theory including rationalizability nash sequential stable equilibrium cover topic epistemic foundation higher order belief bargaining repeated game reputation supermodular game global game also introduces cooperative solution conceptsnash bargaining solution core shapley valueand develops corresponding noncooperative foundation,Prof. Mihai Manea,economics,"economics, social science, game theory"
12.114,Fall,2005.0,Undergraduate,field geology,course provides student 1 introduction geologic history western north america particular emphasis field camp location 2 introduction digital traditional technique geological field study weather permitting several weekend field exercise provide practical experience preparation field geology ii 12115 present introductory material regional geology locale 12115,"Prof. B. Clark Burchfiel, Ben Crosby",earth atmospheric planetary science,"science, social science, earth science, geology, geography"
6.189,January IAP,2011.0,Undergraduate,gentle introduction programming using python,course provide gentle yet intense introduction programming using python highly motivated student little prior experience programming course focus planning organizing program well grammar python programming language course designed help prepare student _601 introduction eec i_courses601scintroductiontoelectricalengineeringandcomputerscienceispring2011 601 assumes knowledge python upon entering course material 6189 specially designed make sure concept important 601 covered course offered independent activity period iap special 4week term mit run first week january end month,Sarina Canelake,electrical engineering computer science,"engineering, computer science, software design engineering, programming language"
PE.210,Spring,2007.0,Undergraduate,scuba,course thoroughly educate successful student knowledge skill necessary certified beginning scuba diver prerequisite course passing mit scuba swim test demonstrating comfort level water end class student attempt pas certification exam become certified diver class taught two part week classroom session pool session classroom session along reading material provide student knowledge necessary pas written exam pool water skill taught progression build previous skill making difficult skill seem easy,Prof. Halston Taylor,athletics physical education recreation,"health medicine, physical education recreation"
18.303,Fall,2014.0,Undergraduate,linear partial differential equation analysis numerics,course provides student basic analytical computational tool linear partial differential equation pdes practical application science engineering including heat diffusion wave poisson equation analytics emphasize viewpoint linear algebra analogy finite matrix problem numerics focus finitedifference finiteelement technique reduce pdes matrix problem julia languagehttpjulialangorg free opensource environment introduced used homework simple example,Prof. Steven G. Johnson,mathematics,"mathematics, applied mathematics, linear algebra, differential equation"
12.335,Fall,2014.0,"Undergraduate, Graduate",experimental atmospheric chemistry,course provides introduction atmospheric chemistry involved climate change air pollution biogeochemical cycle using combination handson laboratory field study simple computer model lecture accompanied field trip collect air sample analysis gas aerosol cloud student,"Dr. Karin Ardon Dryer, Prof. Shuhei Ono, Prof. Ronald G Prinn",earth atmospheric planetary science,"science, chemistry, earth science, atmospheric science"
21A.112,Spring,2008.0,Undergraduate,seminar ethnography fieldwork,advanced course anthropology engages closely discussion debate ethnographic research ethic representation,Prof. Stefan Helmreich,anthropology,"humanity, ethic, social science, anthropology, philosophy, ethnography, cultural anthropology"
15.792J,Fall,2005.0,Graduate,proseminar manufacturing,course provides integrative forum operation manufacturing student focus project leadership service improvement cover set integrative manufacturing topic issue leadership related topic includes presentation guest speaker senior level manager manufacturing company subject largely managed student primarily lfm fellow master student interested focusing operation manufacturing,Prof. Donald Rosenfield,"sloan school management, mechanical engineering, material science engineering, chemical engineering, aeronautics astronautics","innovation, leadership, business, operation management"
15.S21,January IAP,2014.0,Graduate,nut bolt business plan,nut bolt preparing new venture plan launching venture explored twentyfifth annual course offering course open member mit community others interested entrepreneurship particularly recommended person interested starting involved new business venture speaker judge mit 100k entrepreneurship competition person planning enter competition find course particularly useful past approximately 50 class engineering science architecture school 50 sloan school management course offered independent activity period iap special 4week term mit run first week january end month,Joseph Hadzima,sloan school management,"entrepreneurship, innovation, management, business, finance"
16.121,Fall,2017.0,Graduate,analytical subsonic aerodynamics,subject designed inform student analytical foundation inviscid subsonic aerodynamics primary goal subject equip student scientific rigor applied mathematical complexity physical understanding form foundation classical subsonic aerodynamics perturbation method simplify mathematical complexity expand physical understanding critical phenomenon fluid flow provides framework subject subject offer lecture classical subsonic aerodynamics graduate level inviscid subsonic steady flow slender aerodynamic body topic selected fundamental fluid mechanic review singularperturbation method introduction jit similitude subsonic flow axial symmetry linearized subsonic flow slender body theory similarity rule subsonic flow twodimensional flow past waveshaped wall thin wing theory kaplans higher approximation,Prof. Wesley Harris,aeronautics astronautics,"engineering, aerospace engineering, aerodynamics"
12.570,Spring,2005.0,Graduate,seminar geophysics thermal chemical evolution earth,main objective crossdisciplinary course understand historical development current status idea model present question constraint different research field investigate different view mantle flow reconciled currently available data,Prof. Robert Van Der Hilst,earth atmospheric planetary science,"science, physic, earth science, geochemistry, thermodynamics, geophysics, geology"
17.100J,Spring,2016.0,Graduate,political economy,political economy explores major social science paradigm analyzing relation among state economy society reading lecture discussion original text political liberalism individualism neoclassical economics marxism sociological cultural theory neoinstitutionalism seminar examines fundamental assumption understanding social world research based,"Prof. Suzanne Berger, Prof. Michael Piore","political science, sloan school management, economics","economics, social science, political science, political economy"
21G.880,Fall,2013.0,Undergraduate,accelerated introductory portuguese spanish speaker,accelerated introductory portuguese spanish speaker cover basic portuguese grammar present selected cultural aspect lusophone world special emphasis brazil designed intensive introductory course equivalent portuguese ii portuguese course native speaker spanish speaker language nativelike command spanish,Dr. Nilma Dominique,global study language,"humanity, language, society, latin caribbean study, portuguese"
21L.006,Spring,2013.0,Undergraduate,american literature,course study national literature united state since early 19th century considers range text including novel essay poetry effort define notion american identity reading usually include work author nathaniel hawthorne henry david thoreau frederick douglas emily dickinson toni morrison,Dr. Wyn Kelley,literature,"humanity, literature, classic, american literature"
